# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
    5.00    8.88564673    8.88562228    3.53154241    4.07750986    3.11937359    0.54489720   -1.00000000  -9.67521e+00
    5.00    8.92615738    8.92613251    3.55216053    4.08671044    3.13773882    0.54489720   -1.00000000  -9.66704e+00
    5.00    8.96635168    8.96632638    3.57250748    4.09594761    3.15650456    0.54489720   -1.00000000  -9.65941e+00
    5.00    9.00590686    9.00588016    3.59214224    4.10504709    3.17534956    0.54489720   -1.00000000  -9.63488e+00
    5.00    9.03688960    9.03685744    3.60629472    4.11180803    3.18965827    0.54489720   -1.00000000  -9.54151e+00
    5.00    9.07721747    9.07717808    3.62452788    4.12067653    3.20874411    0.54489720   -1.00000000  -9.43209e+00
    5.00    9.11678892    9.11674229    3.64217192    4.12944607    3.22798861    0.54489720   -1.00000000  -9.33473e+00
    5.00    9.15564390    9.15559000    3.65926480    4.13812644    3.24739481    0.54489720   -1.00000000  -9.24686e+00
    5.00    9.19377154    9.19371032    3.67574029    4.14669862    3.26695237    0.54489720   -1.00000000  -9.16672e+00
    5.00    9.24042636    9.24035594    3.69550970    4.15725969    3.29156161    0.54489720   -1.00000000  -9.07549e+00
    5.00    9.27696880    9.27689094    3.71066691    4.16557875    3.31135244    0.54489720   -1.00000000  -9.00845e+00
    5.00    9.31289427    9.31280886    3.72527705    4.17378982    3.33123009    0.54489720   -1.00000000  -8.94584e+00
    5.00    9.35127019    9.35117629    3.74052439    4.18259010    3.35293950    0.54489720   -1.00000000  -8.87877e+00
    5.00    9.39172347    9.39162061    3.75622809    4.19187828    3.37623918    0.54489720   -1.00000000  -8.81842e+00
    5.00    9.42959268    9.42948076    3.77047756    4.20058419    3.39854575    0.54489720   -1.00000000  -8.75859e+00
    5.00    9.46821268    9.46809152    3.78479452    4.20949218    3.42162753    0.54489720   -1.00000000  -8.70602e+00
    5.00    9.50571581    9.50558489    3.79824665    4.21813600    3.44446631    0.54489720   -1.00000000  -8.65204e+00
    5.00    9.54274960    9.54260903    3.81130731    4.22668851    3.46730986    0.54489720   -1.00000000  -8.60475e+00
    5.00    9.58001295    9.57986176    3.82396656    4.23525997    3.49064107    0.54489720   -1.00000000  -8.55534e+00
    5.00    9.62064822    9.62048512    3.83737094    4.24458750    3.51640565    0.54489720   -1.00000000  -8.50614e+00
    5.00    9.66083094    9.66065545    3.85013949    4.25376955    3.54220344    0.54489720   -1.00000000  -8.45985e+00
    5.00    9.69828204    9.69809415    3.86155179    4.26226090    3.56646966    0.54489720   -1.00000000  -8.41759e+00
    5.00    9.73821927    9.73801774    3.87327740    4.27126068    3.59257002    0.54489720   -1.00000000  -8.37596e+00
    5.00    9.77795526    9.77773942    3.88444697    4.28013190    3.61870291    0.54489720   -1.00000000  -8.33653e+00
    5.00    9.81757802    9.81734713    3.89505432    4.28887241    3.64486999    0.54489720   -1.00000000  -8.29913e+00
    5.00    9.85720013    9.85695337    3.90516319    4.29750267    3.67109450    0.54489720   -1.00000000  -8.26358e+00
    5.00    9.89684880    9.89658531    3.91476669    4.30601160    3.69734024    0.54489720   -1.00000000  -8.22982e+00
    5.00    9.94457240    9.94428759    3.92566521    4.31607098    3.72886200    0.54489720   -1.00000000  -8.19155e+00
    5.00    9.98454924    9.98424552    3.93423627    4.32432592    3.75513913    0.54489720   -1.00000000  -8.16147e+00
    5.00   10.04437735   10.04405309    3.94430927    4.33410637    3.78673101    0.54489720   -1.00000000  -8.12674e+00
    5.00   10.10077712   10.10043558    3.95249986    4.34230680    3.81367605    0.54489720   -1.00000000  -8.09888e+00
    5.00   10.16732262   10.16695983    3.96127074    4.35162605    3.84493588    0.54489720   -1.00000000  -8.06944e+00
    5.00   10.23724387   10.23685752    3.96918432    4.36086771    3.87688227    0.54489720   -1.00000000  -8.04264e+00
    5.00   10.31044478   10.31003258    3.97555213    4.36974642    3.90905833    0.54489720   -1.00000000  -8.02022e+00
    5.00   10.40264983   10.40220365    3.97967863    4.37933028    3.94708262    0.54489720   -1.00000000  -8.00267e+00
    5.00   10.50791749   10.50743128    3.97771332    4.38749637    3.98606817    0.54489720   -1.00000000  -8.00051e+00
    5.00   10.62393034   10.62339998    3.96762196    4.39301596    4.02303836    0.54489720   -1.00000000  -8.01865e+00
    5.00   10.73406122   10.73348921    3.95353774    4.39573902    4.05257198    0.54489720   -1.00000000  -8.05122e+00
    5.00   10.86479177   10.86417135    3.93664465    4.39734193    4.08128630    0.54489720   -1.00000000  -8.09786e+00
    5.00   10.97011916   10.96946086    3.92723396    4.39849218    4.09965647    0.54489720   -1.00000000  -8.12962e+00
    5.00   11.15938519   11.15868378    3.92711788    4.40222201    4.12195042    0.54489720   -1.00000000  -8.24717e+00
    5.00   11.37921975   11.37848352    3.95006443    4.41111595    4.14288603    0.54489720   -1.00000000  -8.36964e+00
    5.00   11.54671968   11.54596659    3.97995549    4.42140968    4.16049924    0.54489720   -1.00000000  -8.78400e+00
    5.00   11.63979392   11.63903622    3.99978705    4.42834429    4.17192330    0.54489720   -1.00000000  -9.06704e+00
    5.00   11.74900559   11.74824213    4.02385481    4.43703483    4.18674470    0.54489720   -1.00000000  -8.98182e+00
    5.00   11.87649388   11.87572303    4.04928538    4.44671873    4.20486737    0.54489720   -1.00000000  -8.89098e+00
    5.00   12.01721053   12.01642825    4.07068072    4.45554528    4.22404355    0.54489720   -1.00000000  -8.81531e+00
    5.00   12.25036132   12.24952844    4.08911785    4.46434958    4.24892724    0.54489720   -1.00000000  -8.72910e+00
    5.00   12.49076768   12.48988121    4.09618221    4.46891467    4.26847902    0.54489720    0.00000000  -8.69368e+00
    5.00   12.49103710   12.49015057    4.09595822    4.46880180    4.26826088    0.54489720    0.00000000  -8.69298e+00
    5.00   12.49130653   12.49041994    4.09573424    4.46868893    4.26804274    0.54489720    0.00000000  -8.69227e+00
    5.00   12.49157597   12.49068932    4.09551026    4.46857606    4.26782460    0.54489720    0.00000000  -8.69157e+00
    5.00   12.53241958   12.53152341    4.06276808    4.45198335    4.23561555    0.54489720    0.00000000  -8.60004e+00
    5.00   12.66224505   12.66131951    4.08630522    4.45896197    4.24450520    0.54489720    0.00000000  -8.68134e+00
    5.00   12.83300711   12.83204217    4.09630610    4.46179062    4.25175403    0.54489720    0.00000000  -8.65452e+00
    5.00   13.01619131   13.01518284    4.10649271    4.46393296    4.25646186    0.54489720    0.00000000  -8.63511e+00
    5.00   13.28460891   13.28352513    4.12356665    4.46675880    4.25932853    0.54489720    0.00000000  -8.58746e+00
    5.00   13.48080339   13.47966317    4.13903366    4.46925718    4.26016819    0.54489720    0.00000000  -8.55431e+00
